アイスランド,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/125px-Flag_of_Iceland.svg.png,https://ja.wikipedia.org/wiki/アイスランド,",○○○（○○○語: Ísland [ˈiːstlant]\xa0( 音声ファイル) イーストラント）は、北ヨーロッパの北大西洋上に位置する共和制国家[3]。首都はレイキャヴィーク。総人口は38万7758人。グリーンランドの南東方、ブリテン諸島やデンマークの自治領であるフェロー諸島の北西に位置する。\n,○○○島を主な領土とする島国で、イギリスとのタラ戦争の舞台にもなった漁業基地であるヴェストマン諸島、北極圏上にあるグリムセイ島などの周辺の島嶼（とうしょ）も領有する。高緯度にあるためメルカトル図法[注釈 1]の地図では広大な島のように描かれるが、実際の面積は10万2828平方キロメートルと、フィリピンのルソン島（10万4688平方キロメートル）や、韓国（10万210平方キロメートル）とほぼ同じである。グレートブリテン島（約22万平方キロメートル）の約半分、または日本の北海道と四国を合わせた程度の面積である。\n,",,,,,,,,,,,,,,,,,,,,,
アイルランド,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/150px-Flag_of_Ireland.svg.png,https://ja.wikipedia.org/wiki/アイルランド,",○○○（愛: Éire、英: Ireland）は、北西ヨーロッパに位置し、北大西洋の○○○島の大部分を領土とする共和制国家。代替的な記述で○○○共和国（○○○きょうわこく、愛: Poblacht na hÉireann、英: Republic of Ireland）としても知られる[注釈 1]。首都はダブリン。\n,人口490万人のうち約4割がダブリン近郊に住んでいる[1]。主権国家であり、北○○○（イギリス領）とのみ陸上で国境を接している。大西洋に囲まれており、南にはケルト海、南東にはセント・ジョージ海峡、東にはアイリッシュ海がある。単一国家であり、議会共和制である[2]。立法府は、下院であるドイル・エアラン（Dáil Éireann）、上院であるシャナズ・エアラン（Seanad Éireann）、そして選挙で選ばれた大統領（Uachtarán）から構成されている。政府の長は議会で選出され、大統領によって任命された首相（Taoiseach、ティーショク、英語では「Prime Minister」とは呼ばれない）である。\n,",,,,,,,,,,,,,,,,,,,,,
アゼルバイジャン,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/150px-Flag_of_Azerbaijan.svg.png,https://ja.wikipedia.org/wiki/アゼルバイジャン,",○○○共和国（○○○きょうわこく、○○○語: Azərbaycan Respublikası）、通称○○○ は、ユーラシア大陸のコーカサス地方、カスピ海西岸にある国家である。首都であり最大の都市はバクー。\n,東ヨーロッパと西アジアの交差点に位置し[3]、東にカスピ海、北にロシア、北西にジョージア、西にアルメニア、南にイランに囲まれている。ナヒチェヴァンの飛び地は、北と東にアルメニア、南と西にイランに囲まれ、北西にはトルコとの国境が10km（6.2マイル）ある。\n,",,,,,,,,,,,,,,,,,,,,,
ターリバーン,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/150px-Flag_of_the_Taliban.svg.png,https://ja.wikipedia.org/wiki/ターリバーン,", アルカーイダ\n 東トルキスタンイスラム運動\n ウズベキスタン・イスラム運動（反ISIL派） パキスタン・○○○運動\n [2]\n\xa0パキスタン(-2001年)(2021年-)[3][4]\n\xa0サウジアラビア (-2013年)[5][6]チェチェン・イチケリア共和国\n\xa0トルクメニスタン\n\xa0カタール[7][8][6]\n\xa0ロシア\n\xa0イラン[9][10][11]\n\xa0中国[12][13] \n, 北部同盟 (-2001年)\n アフガニスタン (2001-2021年）\n 民族抵抗戦線 (2021年-)\n ジュンビッシュ\n アフガニスタン・イスラム統一党 パキスタン・○○○運動(時折)\n イスラム国\n ホラーサーン州\n タジキスタン\n アメリカ合衆国\n イギリス\n 北大西洋条約機構\n オーストラリア\n,",,,,,,,,,,,,,,,,,,,,,
アメリカ合衆国,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/146px-Flag_of_the_United_States.svg.png,https://ja.wikipedia.org/wiki/アメリカ合衆国,",○○○（アメリカがっしゅうこく、英語: United States of America、英語略称: USA、United States、US、America）は、北アメリカ大陸の中央部および北西部に位置し、大西洋および太平洋に面する連邦共和国（合衆国）。通称は米国（べいこく）またはアメリカ。首都はコロンビア特別区（ワシントンD.C.）。\n,コロンビア特別区および50州から構成される[5][6]。うち大陸本土の48州は北のカナダと南のメキシコとの間の北アメリカ大陸中央に位置する。アラスカ州は北アメリカ大陸北西部の角に位置し、東ではカナダと、西ではベーリング海峡を挟んでロシアと国境を接している。ハワイ州は太平洋中部に位置する島嶼群である。アメリカは太平洋およびカリブ海に5つの有人の海外領土を有する。\n,",,,,,,,,,,,,,,,,,,,,,
アラブ首長国連邦,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/150px-Flag_of_the_United_Arab_Emirates.svg.png,https://ja.wikipedia.org/wiki/アラブ首長国連邦,",○○○（アラブしゅちょうこくれんぽう、アラビア語: الإِمَارات العربِيَّة المُتَّحِدة\u200e、英: United Arab Emirates）略称UAE[3] は、中東に位置し、7つの首長国からなる連邦制国家。首都はアブダビ市[4]。\n,1959年に石油発見以降、「オイルマネー」で急速な経済発展を果たした国である。絶対君主制の下で、他国への軍事介入や内政干渉、外交的圧力などの積極的な外交政策を取っている[5]。アラビア半島の、ペルシア湾南岸およびオマーン湾西岸にあり、対岸のイランと向かい合う。東部ではオマーンと、南部および西部ではサウジアラビアと陸上国境を接する。カタールとは国境を接していないが、カタールとの間のサウジアラビアの一部地域の領有権をめぐる論争が発生している。\n,",,,,,,,,,,,,,,,,,,,,,
アルジェリア,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/130px-Flag_of_Algeria.svg.png,https://ja.wikipedia.org/wiki/アルジェリア,",○○○民主人民共和国（○○○みんしゅじんみんきょうわこく）、通称○○○は、北アフリカのマグリブに位置する共和制国家。東にチュニジアとリビア、南東にニジェール、南西にマリとモーリタニア、西にモロッコとサハラ・アラブ民主共和国（西サハラ）と国境を接する。北は地中海を隔ててスペインや旧宗主国のフランスと向かい合う。首都はアルジェ。\n,アフリカ世界と地中海世界とアラブ世界の一員であり、アフリカ連合とアラブ連盟と地中海連合とアラブ・マグレブ連合に加盟している。\n,",,,,,,,,,,,,,,,,,,,,,
アルゼンチン,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/150px-Flag_of_Argentina.svg.png,https://ja.wikipedia.org/wiki/アルゼンチン,",'○○○政府は南極の1,000,000 km2およびマルビナス諸島の領有を主張している。\n',○○○共和国[注釈 1]（○○○きょうわこく、スペイン語: República Argentina）、通称○○○は、南アメリカ南部に位置する連邦共和制国家。位置は南米大陸から見ると南西側に位置しており、西と南にチリ、北にボリビア・パラグアイ、北東にブラジル・ウルグアイと国境を接し、東と南は大西洋に面する。ラテンアメリカではブラジルに次いで2番目に領土が大きく、世界全体でも第8位の領土面積を擁する。首都はブエノスアイレス。\n,",,,,,,,,,,,,,,,,,,,,,
アルバニア,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/125px-Flag_of_Albania.svg.png,https://ja.wikipedia.org/wiki/アルバニア,",○○○共和国（○○○きょうわこく、○○○語: Republika e Shqipërisë）、通称○○○は、東南ヨーロッパのバルカン半島南西部に位置する共和制国家。首都はティラナ。\n,西はアドリア海に面し、対岸はイタリアである。北はモンテネグロ、北東はコソボ（コソボを独立国と認めない立場からすればセルビア）、東は北マケドニア、南はギリシャと国境を接する。\n,",,,,,,,,,,,,,,,,,,,,,
アルメニア,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/150px-Flag_of_Armenia.svg.png,https://ja.wikipedia.org/wiki/アルメニア,",○○○共和国（○○○きょうわこく、○○○語: Հայաստանի Հանրապետություն）通称○○○は、ユーラシア大陸の南コーカサスの内陸国である。首都はエレバン。\n,西アジアの○○○高原に位置し[4] [5]、西にトルコ、北にジョージア、東に事実上の独立した共和国アルツァフ共和国とアゼルバイジャン、南ではイランとアゼルバイジャンの飛び地ナヒチェヴァンに国境を接する[6]。\n,",,,,,,,,,,,,,,,,,,,,,
